date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2021-01-01,23.05956404,44.31327241,NA,NA,NA,23366,6599,2021,1,1,covid_shock,0.28241889925532826,28.241889925532824,23.05956404,0.023366,6.599,-1.6676195973094339,0.8989159130042155,-2.5775033324905756,1.4782496232176994,low,low,train
2021-02-01,26.21096654,44.1696703,NA,NA,NA,18141,4498,2021,2,1,covid_shock,0.2479466402072653,24.794664020726533,26.21096654,0.018141,4.498,-1.6761845550599566,0.6119118013630256,-2.5888635767522175,1.7994827961760091,low,low,train
2021-03-01,27.45040486,51.42837194,NA,424.51831782,NA,27202,8892,2021,3,1,covid_shock,0.3268877288434674,32.68877288434674,27.45040486,0.027202,8.892,-1.661331524978141,1.269148015109067,-2.0146336879798468,1.9258229587606732,low,low,train
2021-04-01,28.88426966,52.70180653,NA,NA,NA,25737,9056,2021,4,2,covid_shock,0.35186696196137857,35.18669619613786,28.88426966,0.025737,9.056,-1.6637329916010148,1.477116474631511,-1.9138933298219947,2.071981673585972,low,low,train
2021-05-01,28.22909473,52.93948793,NA,NA,NA,14190,7388,2021,5,2,covid_shock,0.5206483439041578,52.06483439041578,28.22909473,0.01419,7.388,-1.6826611384230792,2.8823319123120226,-1.8950905506675038,2.0051974650925666,low,low,train
2021-06-01,33.75115951,54.64458579,NA,827.64269004,NA,10029,6983,2021,6,2,covid_shock,0.696280785721408,69.6280785721408,33.75115951,0.010029,6.983,-1.6894819593225863,4.344586906069541,-1.7602016679094283,2.568080305529715,low,low,train
2021-07-01,29.33472068,56.08845627,NA,NA,NA,18517,12669,2021,7,3,covid_shock,0.6841821029324404,68.41821029324404,29.33472068,0.018517,12.669,-1.6755682059471917,4.243857455729927,-1.6459782673272672,2.117897677783121,low,low,train
2021-08-01,26.57441124,56.07651831,NA,NA,NA,15887,8907,2021,8,3,covid_shock,0.5606470699313905,56.06470699313905,26.57441124,0.015887,8.907,-1.6798793712838185,3.215347477500818,-1.646922669478362,1.8365299503163899,low,low,train
2021-09-01,24.58633022,65.10329205,NA,1189.70586264,NA,19009,8952,2021,9,3,covid_shock,0.47093482034825607,47.093482034825605,24.58633022,0.019009,8.952,-1.6747617065762335,2.4684343013425236,-0.9328220578580235,1.6338780916113234,low,low,train
2021-10-01,25.03605994,64.36182587,NA,NA,NA,24006,6065,2021,10,4,covid_shock,0.2526451720403233,25.264517204032327,25.03605994,0.024006,6.065,-1.6665704924366427,0.6510301531044798,-0.9914788346738107,1.6797205712467405,low,low,train
